url,name,price,rating,reviewCount,description,asin,manufacturer
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister Casual Backpack,"₹1,099",4.1,"42,676",NA,B07CJCGM1M,Samsonite
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_omk_4?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&sprefix=ba%2Caps%2C283&sr=8-4,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),₹729,3.9,"11,193","Half Moon Backpack - A Quality of Backpacks We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature. Features DURABLE MATERIAL: Made with strong polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women. COMFY & STURDY: Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers. INNER MATERIAL: The material used in the inner compartments is thin yet strong and durable so, be assured of its quality. Thin material is used inside to make it lightweight & comfortable in carrying and to protect it from wear & tear. LOTS OF STORAGE SPACE & POCKETS: One separate Padded laptop compartment. Multiple compartments can store lots of stuff, that too organised. OTHER FEATURES: Rain cover, Reflector logo, Two water bottle/umbrella pockets, Secret-pocket at bottom for Rain cover and other stuffs, High-Quality zippers, Bartacks on pressure points for extra strength, Ergonomic design, etc. Casual Stylish Backpack This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer. Read more CASUAL BACKPACK This MADE IN INDIA Product features 3 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Laptop Compartment, Top padded Handle for comfort. Its ergonomics comfortable design makes you forget the load you are carrying, Spacious compartments This casual backpack comes with three spacious zippered compartments which can accommodate your notebooks and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day. Padded Back and Shoulder Straps This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Read more Rain / Dust Cover This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time. Proudly Made in India Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials. Quality Products at Affordable Prices Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to provide the bag at lowest prices. Read more Half Moon 35L Casual Waterproof Laptop Office School Backpack with Rain Cover Half Moon 32L Waterproof 15.6 inch Laptop/Office/School/College Bag/Backpack Half Moon 35 L 15.6 inch Waterproof Laptop Office School Bag Backpack Rain Cover Half Moon 35 L Waterproof Laptop Office School Bag Backpack with Rain Cover Half Moon Casual Waterproof School Office Laptop College Bag/Backpack Size & Dimensions 48 x 35 x 21 cm 47 x 35 x 21 cm 48 x 35 x 21 cm 48 x 35 x 21 cm 47 x 35 x 21 cm Color Navy Blue Grey & Black Black Navy & Orange Grey & Black Capacity 35 Litres 32 Litres 35 Litres 35 Litres 34 Litres Bar-tacks ✓ ✓ ✓ ✓ ✓ Rain Cover ✓ Water Resistant ✓ ✓ Water Resistant Country of Origin India India India India India",B085MHDJ93,Amazing Bags
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&sprefix=ba%2Caps%2C283&sr=8-5,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )",₹699,3.9,483,"True Human Emperor anti theft backpack ( LEGEND ) Perfectly designed Bag The bag is aesthetically designed and hand crafted by experts to ensure consistent superior quality and high value for customers . To meet your day to day need, The Laptop Backpack is a lightweight, multi-utility bag . Ease of Access Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors. Anti - Theft Pocket Hidden storage pocket for important documents like passports, tickets, cash while on the go. The best in class Anti-Theft This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. Read more Integrated Fast charging port Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included ) Read more",B09QJ7ZF2Y,NA
https://www.amazon.in/Northzone-Polyester-School-Backpack-Compartment/dp/B08678P2T7/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&sprefix=ba%2Caps%2C283&sr=8-6,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L,₹599,4.1,"3,137",NA,B08678P2T7,Northzone
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&sprefix=ba%2Caps%2C283&sr=8-7,ADISA Laptop Backpack 31 Ltrs,₹499,4.0,"7,711","Holding your bag on shoulder rather on hands convenient, to commute to your daily routine. Whether you are riding a two-wheeler, travelling by buses or catching trains to reach your destination, backpacks are the most suitable choice. Not restricted to laptops, backpacks are becoming common for colleges, schools and gyms. ADISA Light Weight Casual Laptop Backpack is one such multi-purpose bag created with extra-large compartmentS and pockets to organize every big and small accessory. Made of lightweight polyester, it is durable, waterproof and easy to carry. It can be cleaned easily or washed manually. If you are looking for money worth and durable backpack, then try this edition. Ideal Design To Relax Your Back Backpacks are an ideal option to carry laptops and luggage. To make it comfortable for daily usage, travelling in buses and catching trains, the bags are created with durable polyester fabric. To keep your back relaxed and free of pain, it has an ergonomic back design. It also features: Lightweight and easy to carryStrong and long-lasting strapsPadded Shoulder StrapAdjustable Strap LengthBreathable Mesh BackSweat-proof and AiryResistant to shrinking and stretching Read more Large Capacity and Roomy Compartments To meet your day to day need, Adisa Casual Laptop Backpack is a lightweight, multi-utility bag. It is fit to use as a laptop bag and a travel bag too. You can either take it to the office, tour, or gym. It exhibits multiple functions Multiple Compartments and organizerWider base to hold more kinds of stuffPadded laptop compartment, can hold up to a 15.6-inch laptopMain compartment to carry a charger, clothes, books, headset and CDs etcDurable side pockets with elastic mesh fabric to hold the water bottle, sipper and protein shake etc. Suitable for college, office, gym and travelling Read more Quality Metal Zipper Tested for quality and pressure, the zipper is made of the metal locking with a compatible pulling strap keeping the laptop and other accessories safe within. Padded Handle The bag features a strong padded handle, for an easy holding and comfortable grip to be used as a carry bag. Bottle Holders Keeping your travel and gym needs in mind, the bag is fitted with two strong mesh fabric bottle holders on each side of the bag. Read more Read more Read more",B07G3CG9FC,ADISA
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹249,4.1,"3,213",NA,B088XB5XY8,"‎Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka"
https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&smid=A3HBYWQBT33AGW&sprefix=ba%2Caps%2C283&sr=8-9,"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty",₹567,4.0,"6,182",Read more Read more Read more Read more Read more,B081GSQ9D9,POLESTAR
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-10,Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),₹548,4.3,"6,600","Ergonomic Contoured Shape With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage! Fits Your Laptop Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches. Strong and Lightweight Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain. Read more Padded Back Straps The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day. Spacious Storage Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety. Back Support It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back. A Bag for any weather Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials.",B084JGJ8PF,"‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039"
https://www.amazon.in/POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&smid=A3HBYWQBT33AGW&sprefix=ba%2Caps%2C283&sr=8-13,"POLESTAR Noble 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, made with polyester, 1 year warranty",₹585,4.0,"15,700",Read more Read more Read more Read more Read more,B07PQQ8M7B,POLESTAR
https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1658679606&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-14,American Tourister Casual Backpack,₹999,4.1,"10,843",NA,B07CJCFNZG,Samsonite
